Generation:35, Observation:[[2, 66], [24, 0], [0, 29], [24, 45], [0, 6], [54, 0], [21, 43], [13, 0], [6, 7], [63, 8], [22, 0], [9, 7], [3, 81], [23, 0], [2, 0], [9, 66], [62, 0], [3, 3], [12, 13], [0, 81], [0, 14], [1, 78], [21, 36], [25, 56], [14, 21]], Rewards:[8, 10, 4, 19, 7, 9, 16, 9, 15, 16, 10, 13, 6, 10, 5, 10, 8, 12, 14, 1, 8, 5, 17, 17, 16]
Generation:36, Observation:[[2, 69], [24, 0], [0, 30], [24, 48], [0, 4], [57, 0], [24, 43], [10, 0], [6, 4], [65, 8], [25, 0], [9, 10], [3, 84], [23, 0], [2, 0], [9, 68], [64, 0], [2, 3], [12, 16], [0, 84], [0, 14], [1, 80], [24, 36], [25, 58], [14, 24]], Rewards:[9, 8, 4, 16, 7, 9, 17, 8, 14, 15, 11, 15, 7, 8, 5, 10, 8, 10, 16, 0, 7, 5, 18, 17, 16]
Generation:37, Observation:[[3, 69], [26, 0], [0, 33], [27, 48], [0, 4], [59, 0], [27, 43], [10, 0], [6, 3], [67, 8], [24, 0], [9, 9], [3, 85], [26, 0], [1, 0], [9, 70], [62, 0], [5, 3], [12, 19], [0, 87], [0, 14], [0, 80], [24, 34], [25, 61], [14, 26]], Rewards:[9, 10, 4, 20, 8, 8, 21, 8, 13, 15, 8, 15, 5, 10, 5, 11, 8, 13, 16, 1, 7, 1, 18, 14, 16]
Generation:38, Observation:[[1, 69], [24, 0], [0, 35], [27, 50], [1, 4], [62, 0], [27, 45], [10, 0], [6, 5], [70, 8], [26, 0], [9, 8], [3, 88], [26, 0], [4, 0], [9, 71], [64, 0], [7, 3], [12, 21], [0, 90], [0, 14], [0, 82], [25, 34], [28, 61], [14, 29]], Rewards:[8, 8, 5, 19, 11, 8, 19, 9, 13, 15, 9, 14, 5, 9, 7, 11, 8, 14, 16, 1, 7, 1, 18, 18, 16]
Generation:39, Observation:[[1, 72], [27, 0], [2, 35], [27, 52], [0, 4], [64, 0], [27, 46], [10, 0], [6, 2], [67, 8], [27, 0], [9, 6], [3, 90], [28, 0], [4, 3], [9, 68], [66, 0], [9, 3], [9, 21], [0, 91], [0, 15], [0, 84], [25, 31], [28, 63], [12, 29]], Rewards:[9, 9, 10, 14, 9, 8, 16, 10, 12, 17, 9, 13, 5, 11, 13, 10, 8, 12, 12, 2, 7, 1, 17, 16, 16]
Generation:40, Observation:[[1, 74], [28, 0], [2, 36], [28, 52], [0, 4], [65, 0], [30, 46], [10, 0], [6, 4], [70, 8], [30, 0], [9, 7], [4, 90], [28, 3], [4, 1], [9, 65], [66, 2], [6, 3], [9, 20], [0, 92], [0, 15], [1, 84], [25, 32], [28, 66], [12, 31]], Rewards:[7, 9, 10, 14, 8, 8, 19, 9, 13, 16, 11, 14, 6, 12, 9, 13, 13, 12, 15, 2, 7, 4, 17, 12, 16]
Generation:41, Observation:[[1, 75], [31, 0], [2, 38], [31, 52], [0, 4], [65, 1], [30, 49], [10, 0], [6, 1], [72, 8], [33, 0], [9, 9], [4, 91], [29, 3], [4, 3], [9, 67], [68, 2], [9, 3], [9, 18], [0, 95], [0, 15], [1, 86], [25, 29], [30, 66], [12, 32]], Rewards:[8, 11, 10, 17, 9, 11, 16, 10, 9, 15, 11, 14, 6, 13, 11, 12, 13, 11, 15, 2, 7, 4, 16, 12, 17]
Generation:42, Observation:[[1, 76], [34, 0], [2, 41], [31, 53], [0, 4], [67, 1], [27, 49], [12, 0], [6, 3], [75, 8], [31, 0], [9, 11], [4, 93], [29, 0], [4, 0], [9, 64], [70, 2], [7, 3], [12, 18], [1, 95], [0, 17], [0, 86], [25, 26], [32, 66], [12, 29]], Rewards:[6, 11, 9, 16, 9, 13, 16, 8, 13, 15, 9, 15, 6, 10, 5, 13, 14, 13, 17, 5, 7, 1, 16, 16, 16]
Generation:43, Observation:[[3, 76], [34, 0], [2, 42], [31, 52], [0, 4], [69, 1], [30, 49], [12, 0], [6, 1], [77, 8], [34, 0], [7, 11], [3, 93], [31, 0], [4, 2], [9, 65], [68, 2], [7, 1], [12, 15], [1, 93], [0, 17], [0, 85], [25, 24], [32, 67], [12, 28]], Rewards:[9, 11, 8, 16, 9, 12, 15, 8, 10, 13, 11, 14, 5, 9, 13, 14, 15, 10, 17, 4, 8, 2, 16, 15, 16]
Generation:44, Observation:[[2, 76], [37, 0], [2, 44], [33, 52], [2, 4], [70, 1], [33, 49], [12, 0], [3, 1], [77, 11], [37, 0], [7, 8], [3, 95], [32, 0], [4, 0], [9, 67], [68, 3], [10, 1], [12, 16], [1, 94], [0, 17], [0, 82], [22, 24], [33, 67], [12, 26]], Rewards:[7, 11, 7, 15, 10, 13, 15, 8, 11, 14, 11, 14, 7, 8, 7, 13, 16, 13, 17, 3, 7, 4, 16, 12, 16]
