Generation:23, Observation:[[43, 57], [58, 55], [46, 55], [50, 43], [49, 42], [51, 52], [49, 57], [50, 48], [59, 44], [55, 52], [50, 47], [37, 48], [49, 41], [58, 52], [45, 60], [50, 56], [53, 46], [41, 38], [57, 52], [49, 41], [47, 48], [42, 54], [47, 50], [45, 59], [53, 53]], Rewards:[12, 16, 11, 12, 8, 15, 12, 11, 14, 11, 11, 7, 8, 11, 11, 14, 13, 1, 11, 8, 9, 12, 10, 11, 14]
Generation:24, Observation:[[47, 57], [56, 55], [46, 55], [50, 43], [49, 39], [51, 52], [49, 57], [50, 48], [59, 44], [55, 53], [50, 47], [37, 50], [49, 41], [58, 52], [45, 60], [50, 56], [55, 46], [41, 38], [57, 52], [52, 41], [47, 48], [42, 53], [47, 50], [45, 59], [52, 53]], Rewards:[11, 15, 12, 12, 8, 15, 11, 10, 15, 13, 10, 9, 8, 12, 10, 12, 13, 1, 12, 14, 7, 11, 8, 11, 14]
Generation:25, Observation:[[46, 57], [53, 55], [46, 55], [50, 43], [49, 43], [51, 52], [49, 57], [50, 48], [59, 47], [55, 52], [50, 47], [37, 51], [49, 41], [57, 52], [45, 60], [50, 56], [54, 46], [41, 38], [57, 52], [52, 41], [47, 48], [42, 54], [47, 50], [45, 59], [53, 53]], Rewards:[13, 14, 11, 11, 9, 14, 13, 10, 10, 12, 9, 10, 8, 11, 11, 14, 14, 1, 11, 13, 9, 12, 9, 11, 15]
Generation:26, Observation:[[46, 57], [53, 55], [46, 55], [50, 43], [49, 48], [51, 52], [46, 57], [50, 48], [59, 48], [55, 55], [50, 47], [37, 50], [49, 41], [57, 52], [45, 60], [50, 56], [51, 46], [44, 38], [57, 52], [55, 41], [47, 48], [42, 51], [47, 50], [45, 59], [53, 52]], Rewards:[13, 14, 10, 11, 8, 14, 13, 7, 10, 13, 8, 9, 9, 13, 10, 13, 10, 2, 13, 15, 9, 10, 11, 10, 13]
Generation:27, Observation:[[44, 57], [50, 55], [46, 55], [54, 43], [49, 48], [51, 52], [46, 57], [50, 48], [59, 47], [54, 55], [50, 47], [37, 48], [49, 41], [57, 52], [45, 60], [50, 56], [50, 46], [44, 38], [57, 52], [53, 41], [45, 48], [42, 48], [47, 50], [45, 59], [53, 52]], Rewards:[11, 11, 11, 13, 9, 15, 14, 8, 8, 15, 8, 6, 8, 12, 11, 12, 10, 2, 12, 14, 7, 6, 14, 11, 12]
Generation:28, Observation:[[43, 57], [51, 55], [46, 55], [54, 43], [49, 48], [51, 52], [46, 57], [50, 48], [57, 47], [54, 54], [50, 47], [37, 47], [47, 41], [57, 52], [45, 60], [50, 56], [50, 45], [44, 38], [57, 52], [56, 41], [45, 48], [42, 49], [48, 50], [45, 59], [52, 52]], Rewards:[11, 13, 12, 14, 13, 14, 14, 9, 9, 14, 10, 4, 8, 12, 9, 12, 11, 3, 12, 13, 8, 9, 12, 11, 14]
Generation:29, Observation:[[41, 57], [51, 55], [45, 55], [54, 43], [49, 48], [51, 52], [46, 57], [50, 48], [57, 46], [54, 59], [50, 47], [37, 47], [47, 41], [58, 52], [45, 62], [50, 56], [50, 45], [44, 38], [57, 52], [56, 41], [45, 48], [42, 50], [48, 50], [45, 59], [52, 53]], Rewards:[11, 13, 8, 14, 13, 14, 14, 8, 11, 17, 11, 5, 8, 14, 7, 12, 11, 3, 13, 13, 8, 10, 10, 9, 16]
Generation:30, Observation:[[41, 57], [51, 55], [45, 55], [54, 43], [49, 48], [51, 52], [46, 57], [50, 48], [57, 46], [54, 59], [50, 47], [37, 50], [47, 41], [55, 52], [45, 62], [50, 56], [47, 45], [44, 38], [57, 52], [54, 41], [45, 48], [42, 52], [48, 50], [45, 59], [55, 53]], Rewards:[11, 14, 8, 12, 12, 13, 14, 8, 12, 16, 11, 9, 8, 12, 8, 14, 10, 3, 12, 13, 7, 9, 10, 9, 15]
Generation:31, Observation:[[41, 57], [52, 55], [45, 55], [54, 43], [49, 44], [51, 54], [46, 57], [50, 48], [57, 49], [54, 59], [50, 47], [37, 48], [47, 41], [53, 52], [45, 62], [50, 56], [47, 45], [44, 38], [57, 52], [49, 41], [45, 48], [42, 51], [48, 50], [45, 62], [56, 53]], Rewards:[11, 14, 8, 14, 9, 18, 14, 9, 15, 18, 12, 6, 8, 16, 8, 16, 10, 3, 13, 10, 5, 9, 11, 8, 15]
Generation:32, Observation:[[39, 57], [52, 55], [45, 55], [54, 43], [49, 46], [51, 54], [46, 57], [49, 48], [57, 54], [54, 59], [50, 47], [37, 48], [47, 41], [55, 52], [45, 62], [50, 56], [50, 45], [44, 38], [57, 52], [52, 41], [45, 48], [42, 51], [48, 50], [45, 62], [56, 54]], Rewards:[13, 15, 8, 11, 10, 15, 14, 9, 14, 17, 9, 6, 8, 13, 10, 16, 10, 3, 14, 13, 7, 10, 8, 10, 14]
