Generation:23, Observation:[[49, 43], [44, 49], [48, 55], [53, 52], [53, 47], [46, 41], [50, 51], [48, 51], [57, 54], [48, 50], [48, 46], [47, 58], [49, 44], [54, 46], [45, 51], [48, 56], [52, 57], [46, 51], [56, 48], [55, 53], [50, 52], [53, 51], [55, 48], [50, 48], [57, 49]], Rewards:[10, 7, 12, 13, 11, 2, 12, 8, 19, 9, 4, 9, 9, 11, 8, 11, 15, 8, 10, 17, 16, 11, 11, 10, 11]
Generation:24, Observation:[[48, 43], [44, 49], [48, 55], [53, 51], [53, 48], [47, 41], [51, 51], [48, 51], [57, 54], [49, 50], [48, 45], [47, 59], [49, 43], [54, 46], [45, 50], [47, 56], [53, 57], [46, 51], [56, 49], [54, 53], [50, 52], [53, 50], [56, 48], [50, 48], [57, 50]], Rewards:[6, 5, 12, 12, 9, 3, 15, 12, 19, 11, 5, 7, 9, 13, 6, 11, 15, 10, 10, 17, 18, 9, 8, 10, 11]
Generation:25, Observation:[[48, 43], [44, 49], [48, 55], [54, 51], [53, 49], [48, 41], [51, 51], [48, 51], [57, 54], [49, 51], [48, 45], [47, 59], [49, 44], [54, 46], [45, 49], [47, 55], [53, 56], [46, 51], [56, 48], [54, 54], [51, 52], [53, 49], [57, 48], [50, 48], [57, 51]], Rewards:[5, 6, 11, 12, 10, 5, 13, 9, 17, 13, 5, 7, 8, 12, 4, 13, 15, 8, 9, 16, 15, 10, 8, 10, 12]
Generation:26, Observation:[[48, 43], [44, 49], [48, 55], [55, 51], [54, 49], [47, 41], [51, 51], [48, 51], [57, 54], [49, 51], [48, 44], [47, 59], [49, 44], [54, 46], [45, 50], [47, 54], [53, 55], [46, 51], [56, 48], [55, 54], [51, 52], [53, 49], [57, 48], [50, 48], [57, 50]], Rewards:[6, 5, 14, 12, 9, 3, 14, 11, 17, 14, 6, 8, 8, 11, 7, 11, 15, 9, 9, 15, 16, 10, 9, 10, 12]
Generation:27, Observation:[[48, 43], [44, 49], [48, 55], [54, 51], [55, 49], [48, 41], [51, 51], [48, 51], [57, 54], [49, 51], [48, 44], [47, 60], [49, 45], [54, 46], [45, 51], [47, 54], [54, 55], [46, 51], [56, 49], [55, 53], [51, 52], [53, 48], [57, 48], [50, 48], [57, 49]], Rewards:[5, 5, 13, 11, 11, 5, 12, 9, 18, 13, 5, 6, 9, 10, 8, 12, 15, 8, 11, 16, 16, 8, 8, 10, 10]
Generation:28, Observation:[[48, 43], [44, 49], [48, 55], [55, 51], [56, 49], [49, 41], [51, 51], [48, 51], [57, 54], [50, 51], [49, 44], [47, 59], [49, 44], [53, 46], [45, 52], [47, 54], [55, 55], [46, 51], [56, 48], [55, 52], [52, 52], [53, 48], [57, 48], [50, 48], [57, 50]], Rewards:[5, 7, 13, 9, 12, 8, 12, 9, 18, 12, 7, 8, 7, 10, 13, 13, 16, 8, 9, 13, 16, 8, 9, 9, 11]
Generation:29, Observation:[[48, 43], [44, 50], [47, 55], [54, 51], [57, 49], [49, 41], [51, 51], [48, 51], [57, 54], [50, 51], [49, 44], [47, 59], [49, 45], [52, 46], [45, 53], [47, 54], [55, 54], [46, 51], [56, 49], [55, 51], [52, 52], [53, 48], [57, 48], [50, 48], [57, 49]], Rewards:[6, 8, 13, 13, 8, 8, 11, 9, 17, 12, 8, 8, 7, 10, 14, 13, 15, 9, 11, 10, 17, 9, 8, 9, 8]
Generation:30, Observation:[[48, 43], [44, 50], [47, 55], [54, 50], [56, 49], [48, 41], [51, 51], [48, 51], [57, 54], [50, 51], [49, 44], [47, 59], [49, 46], [53, 46], [45, 54], [47, 55], [54, 54], [46, 51], [56, 48], [55, 50], [52, 52], [53, 48], [57, 48], [50, 48], [57, 50]], Rewards:[6, 7, 13, 11, 10, 6, 13, 12, 17, 15, 9, 6, 8, 9, 13, 13, 13, 11, 8, 11, 17, 9, 7, 10, 10]
Generation:31, Observation:[[48, 43], [44, 50], [47, 55], [53, 50], [55, 49], [49, 41], [50, 51], [48, 51], [57, 54], [50, 51], [49, 44], [47, 59], [49, 47], [53, 46], [46, 54], [47, 54], [54, 55], [46, 51], [56, 47], [55, 49], [52, 52], [53, 48], [57, 49], [50, 48], [57, 49]], Rewards:[6, 9, 11, 12, 9, 8, 14, 13, 17, 14, 8, 7, 8, 10, 11, 12, 17, 10, 9, 9, 15, 8, 9, 11, 9]
Generation:32, Observation:[[48, 43], [44, 50], [47, 55], [52, 50], [55, 50], [49, 40], [51, 51], [48, 51], [57, 54], [50, 52], [49, 44], [47, 59], [49, 48], [53, 46], [46, 53], [47, 54], [55, 55], [46, 51], [56, 48], [55, 48], [52, 52], [53, 48], [57, 49], [50, 48], [56, 49]], Rewards:[6, 8, 13, 10, 10, 8, 13, 12, 19, 15, 8, 6, 7, 10, 13, 13, 17, 11, 7, 6, 14, 9, 10, 9, 10]
