3
2
24;[0,20][50,3][48,6][0,6][57,7][45,2][41,6][7,0][58,6][0,4][49,14][0,19][55,19][5,4][49,18][3,18][43,5][50,15][62,9][47,17][53,0][6,15][43,6][8,5][4,6];17,6,7,7,17,5,7,6,13,4,15,16,19,7,14,15,5,14,16,13,6,16,6,10,9,;
25;[0,19][52,3][49,6][0,6][59,7][46,2][44,6][7,0][60,6][0,4][49,15][0,19][57,19][5,6][50,18][3,21][45,5][50,16][65,9][48,17][56,0][6,18][46,6][5,5][4,5];15,8,8,7,16,4,6,7,12,4,14,15,18,9,14,19,5,13,16,14,4,19,7,7,7,;
26;[0,21][53,3][52,6][0,6][62,7][48,2][46,6][7,0][62,6][0,4][52,15][0,22][57,21][5,4][51,18][3,20][48,5][50,18][66,9][51,17][57,0][6,17][46,7][8,5][4,4];16,8,10,8,14,4,8,6,13,4,16,17,18,6,12,16,7,13,16,13,5,16,10,11,6,;
27;[0,18][56,3][54,6][0,6][63,7][50,2][49,6][7,0][64,6][0,4][52,17][0,22][60,21][5,3][54,18][3,18][51,5][53,18][67,9][52,17][59,0][6,20][49,7][6,5][4,1];12,8,10,7,15,5,8,6,13,6,13,16,20,6,13,15,8,13,16,13,6,20,10,9,6,;
28;[0,19][56,2][57,6][0,6][65,7][51,2][51,6][7,0][65,6][0,4][55,17][0,22][62,21][5,4][57,18][3,19][52,5][56,18][70,9][55,17][60,0][6,17][52,7][7,5][4,4];15,5,11,8,17,2,7,6,14,4,11,16,20,6,15,18,8,14,16,11,5,14,11,10,6,;
29;[0,22][57,2][58,6][0,6][68,7][54,2][54,6][7,0][67,6][0,4][56,17][0,22][65,21][5,2][59,18][3,18][55,5][57,18][73,9][57,17][62,0][6,18][52,5][5,5][4,2];16,5,12,8,17,3,7,6,15,6,12,16,19,4,15,16,7,12,16,12,5,17,6,8,6,;
30;[0,21][60,2][60,6][0,6][70,7][57,2][56,6][7,0][69,6][0,4][57,17][0,22][68,21][5,4][59,21][3,21][57,5][60,18][75,9][58,17][64,0][6,15][52,7][8,5][4,0];13,8,10,7,16,5,6,5,13,4,12,16,17,7,14,15,6,15,16,13,5,17,12,11,5,;
31;[0,24][61,2][63,6][0,6][72,7][60,2][58,6][7,0][72,6][0,4][60,17][0,22][68,23][5,2][62,21][3,23][58,5][62,18][77,9][61,17][65,0][6,18][55,7][7,5][4,1];16,6,12,7,15,6,6,5,13,6,12,15,19,5,15,17,5,14,16,12,5,18,12,10,6,;
32;[0,22][64,2][65,6][0,6][73,7][62,2][61,6][7,0][75,6][0,4][62,17][0,23][71,23][5,4][63,21][3,20][60,5][65,18][80,9][64,17][68,0][6,17][57,7][6,5][4,3];16,5,11,8,17,5,7,7,13,5,12,14,20,7,14,16,6,16,16,12,5,16,12,9,6,;
33;[0,21][66,2][66,6][0,6][74,7][63,2][63,6][7,0][76,6][0,4][64,17][0,23][74,23][5,2][66,21][3,21][61,5][66,18][83,9][64,20][71,0][6,20][59,7][9,5][4,4];14,5,9,8,17,4,7,6,13,5,12,16,20,5,14,16,7,13,16,11,5,16,11,11,6,;
